"State","State.Abbreviation","Policy","Date","Group"
"Missouri","MO","reopening_restaurants","5/4/2020","Reopening"
"Montana","MT","reopening_restaurants","5/4/2020","Reopening"
"Nebraska","NE","reopening_restaurants","6/1/2020","Reopening"
"Nevada","NV","reopening_restaurants","5/9/2020","Reopening"
"New Hampshire","NH","reopening_restaurants","5/18/2020","Reopening"
"New Jersey","NJ","reopening_restaurants","6/15/2020","Reopening"
"New Mexico","NM","reopening_restaurants","5/27/2020","Reopening"
"New York","NY","reopening_restaurants","6/22/2020","Reopening"
"North Carolina","NC","reopening_restaurants","5/22/2020","Reopening"
"North Dakota","ND","reopening_restaurants","5/1/2020","Reopening"
"Ohio","OH","reopening_restaurants","5/15/2020","Reopening"
"Oklahoma","OK","reopening_restaurants","5/1/2020","Reopening"
"Oregon","OR","reopening_restaurants","6/19/2020","Reopening"
"Pennsylvania","PA","reopening_restaurants","6/5/2020","Reopening"
"Rhode Island","RI","reopening_restaurants","5/18/2020","Reopening"
"South Carolina","SC","reopening_restaurants","5/4/2020","Reopening"
"Tennessee","TN","reopening_restaurants","4/27/2020","Reopening"
"Texas","TX","reopening_restaurants","5/1/2020","Reopening"
"Utah","UT","reopening_restaurants","5/1/2020","Reopening"
"Vermont","VT","reopening_restaurants","5/22/2020","Reopening"
"Virginia","VA","reopening_restaurants","5/29/2020","Reopening"
"Washington","WA","reopening_restaurants","7/3/2020","Reopening"
"West Virginia","WV","reopening_restaurants","5/4/2020","Reopening"
"Wisconsin","WI","reopening_restaurants","5/13/2020","Reopening"
"Wyoming","WY","reopening_restaurants","5/15/2020","Reopening"
"Alabama","AL","reopening_gyms","5/11/2020","Reopening"
"Alaska","AK","reopening_gyms","5/8/2020","Reopening"
"Arizona","AZ","reopening_gyms","5/13/2020","Reopening"
"Arkansas","AR","reopening_gyms","5/4/2020","Reopening"
"California","CA","reopening_gyms","4/15/2021","Reopening"
"Colorado","CO","reopening_gyms","6/4/2020","Reopening"
"Connecticut","CT","reopening_gyms","6/17/2020","Reopening"
"Delaware","DE","reopening_gyms","6/1/2020","Reopening"
"District of Columbia","DC","reopening_gyms","6/22/2020","Reopening"
"Florida","FL","reopening_gyms","5/18/2020","Reopening"
"Georgia","GA","reopening_gyms","4/24/2020","Reopening"
"Hawaii","HI","reopening_gyms","6/19/2020","Reopening"
"Idaho","ID","reopening_gyms","5/16/2020","Reopening"
"Illinois","IL","reopening_gyms","5/29/2020","Reopening"
"Indiana","IN","reopening_gyms","6/1/2020","Reopening"
"Iowa","IA","reopening_gyms","5/15/2020","Reopening"
"Kansas","KS","reopening_gyms","5/18/2020","Reopening"
"Kentucky","KY","reopening_gyms","6/1/2020","Reopening"
"Louisiana","LA","reopening_gyms","5/15/2020","Reopening"
"Maine","ME","reopening_gyms","6/17/2020","Reopening"
"Maryland","MD","reopening_gyms","6/19/2020","Reopening"
"Massachusetts","MA","reopening_gyms","7/13/2020","Reopening"
"Michigan","MI","reopening_gyms","9/9/2020","Reopening"
"Minnesota","MN","reopening_gyms","6/10/2020","Reopening"
"Mississippi","MS","reopening_gyms","5/11/2020","Reopening"
"Missouri","MO","reopening_gyms","5/4/2020","Reopening"
